Date,Open,High,Low,Close,Adj Close,Volume
2022-01-07,281.410004,284.220001,270.570007,272.470001,272.094757,40993900
2022-01-10,265.809998,274.690002,256.440002,274.000000,273.622620,59468100
2022-01-11,273.230011,280.649994,268.390015,278.170013,277.786865,40408900
2022-01-12,280.670013,285.950012,276.079987,279.989990,279.604370,38341300
2022-01-13,283.790009,284.799988,264.980011,265.750000,265.383972,54017100
2022-01-14,263.000000,271.970001,262.100006,269.420013,269.048950,39583200
2022-01-18,262.600006,266.380005,257.700012,259.029999,258.673218,42427000
2022-01-19,260.790009,265.429993,250.520004,250.669998,250.324753,48831500
2022-01-20,253.039993,255.789993,240.779999,241.500000,241.167389,43518100
2022-01-21,235.070007,248.229996,232.630005,233.740005,233.418091,71895800
2022-01-24,223.300003,233.800003,208.880005,233.720001,233.398117,91398200
2022-01-25,225.460007,229.429993,220.000000,223.240005,222.932556,66461600
2022-01-26,232.399994,240.570007,223.000000,227.720001,227.406357,75595900
2022-01-27,235.679993,239.949997,216.750000,219.440002,219.137756,57335300
2022-01-28,220.119995,228.580002,212.960007,228.399994,228.085388,54377400
2022-01-31,231.820007,245.089996,230.520004,244.860001,244.522751,56468000
2022-02-01,251.039993,251.449997,238.899994,246.380005,246.040649,51892500
2022-02-02,257.940002,258.170013,245.529999,252.419998,252.072342,54341900
2022-02-03,244.580002,250.770004,237.800003,239.479996,239.150177,41017800
2022-02-04,239.720001,246.350006,236.320007,243.190002,242.855042,35482900
2022-02-07,243.720001,251.820007,242.020004,247.279999,246.939423,37686800
2022-02-08,243.589996,252.300003,239.800003,251.080002,250.734177,41035900
2022-02-09,256.220001,267.250000,253.529999,267.049988,266.682159,52428200
2022-02-10,259.950012,269.250000,256.000000,258.239990,257.884308,51320000
2022-02-11,259.160004,261.519989,237.729996,239.490005,239.160172,60547200
2022-02-14,239.339996,248.750000,237.550003,242.669998,242.335770,44042400
2022-02-15,249.490005,265.450012,247.839996,264.950012,264.585114,69986900
2022-02-16,262.589996,265.820007,255.520004,265.109985,264.744843,73267600
2022-02-17,256.299988,257.850006,241.649994,245.070007,244.732452,81059500
2022-02-18,246.679993,249.860001,231.000000,236.419998,236.094360,76125500
2022-02-22,230.350006,240.639999,230.000000,233.899994,233.577835,63342200
2022-02-23,238.020004,241.550003,223.009995,223.869995,223.561646,56651100
2022-02-24,210.149994,238.000000,208.899994,237.479996,237.152908,73580100
2022-02-25,237.210007,242.169998,233.809998,241.570007,241.237274,52886600
2022-02-28,239.919998,246.649994,237.070007,243.850006,243.514160,47731900
2022-03-01,242.910004,243.770004,231.320007,234.770004,234.446671,41205600
2022-03-02,237.559998,244.089996,234.149994,242.199997,241.907623,38964200
2022-03-03,242.619995,243.259995,234.690002,237.139999,236.853729,36509500
2022-03-04,233.839996,236.800003,224.820007,229.360001,229.083130,43141500
2022-03-07,228.169998,230.330002,213.300003,213.520004,213.262253,45082100
2022-03-08,213.089996,223.729996,206.500000,215.139999,214.880295,55746700
2022-03-09,223.869995,232.199997,222.470001,230.139999,229.862167,49274200
2022-03-10,225.309998,227.880005,218.820007,226.580002,226.306503,42806600
2022-03-11,230.220001,231.449997,220.460007,221.000000,220.733215,36720900
2022-03-14,218.690002,222.619995,211.589996,213.300003,213.042496,38535400
2022-03-15,215.179993,230.380005,213.220001,229.729996,229.452682,49199600
2022-03-16,235.000000,245.970001,231.720001,244.960007,244.664291,67142200
2022-03-17,241.199997,248.419998,239.059998,247.660004,247.361038,47194100
2022-03-18,247.990005,265.690002,246.240005,264.529999,264.210663,73071900
2022-03-21,265.070007,271.519989,259.670013,267.339996,267.017273,59172700
2022-03-22,267.269989,272.380005,260.720001,265.239990,264.919800,54700700
2022-03-23,261.260010,266.119995,255.750000,256.339996,256.030548,50212000
2022-03-24,261.660004,283.200012,259.070007,281.500000,281.160156,87737900
2022-03-25,278.859985,283.579987,272.709991,276.920013,276.585693,57901600
2022-03-28,277.559998,282.500000,272.059998,282.190002,281.849396,42549400
2022-03-29,286.950012,289.459991,279.799988,286.559998,286.214081,48898400
2022-03-30,283.040009,284.959991,275.029999,276.899994,276.565704,46348700
2022-03-31,277.820007,282.480011,272.700012,272.859985,272.530579,52344000
2022-04-01,273.750000,274.959991,262.670013,267.119995,266.797516,51723500
2022-04-04,267.279999,275.579987,266.130005,273.600006,273.269714,39712000
2022-04-05,272.540009,273.190002,258.200012,259.309998,258.996948,43661500
2022-04-06,249.339996,253.000000,240.029999,244.070007,243.775375,70383300
2022-04-07,244.410004,247.220001,234.779999,242.080002,241.787766,55799200
2022-04-08,239.169998,239.229996,230.619995,231.190002,230.910919,52478100
2022-04-11,222.139999,223.199997,216.600006,219.169998,218.905411,57520700
2022-04-12,225.369995,227.250000,212.820007,215.039993,214.780380,66225800
2022-04-13,217.279999,225.000000,214.550003,222.029999,221.761978,51694300
2022-04-14,225.050003,227.770004,211.630005,212.580002,212.323364,56909700
2022-04-18,212.000000,220.880005,210.789993,217.830002,217.567032,52570100
2022-04-19,217.199997,223.729996,213.139999,221.979996,221.712021,51278100
2022-04-20,225.169998,226.699997,212.000000,214.820007,214.560684,46897400
2022-04-21,217.089996,223.919998,200.000000,201.830002,201.586349,65620900
2022-04-22,203.029999,204.860001,195.000000,195.149994,194.914413,62471300
2022-04-25,192.020004,199.449997,190.960007,199.020004,198.779755,64156600
2022-04-26,197.179993,197.880005,186.699997,187.880005,187.653214,65314300
2022-04-27,185.979996,191.669998,182.899994,184.149994,183.927689,49946000
2022-04-28,189.669998,200.369995,184.899994,197.820007,197.581192,57032700
2022-04-29,194.020004,201.279999,185.169998,185.470001,185.246109,50043500
2022-05-02,185.410004,195.740005,183.910004,195.330002,195.094208,57204900
2022-05-03,194.000000,198.250000,191.330002,196.020004,195.783371,47575100
2022-05-04,199.229996,204.000000,187.509995,203.339996,203.094543,64885500
2022-05-05,198.669998,199.250000,185.000000,188.440002,188.212524,62633100
2022-05-06,187.360001,195.119995,179.899994,186.750000,186.524567,63329700
2022-05-09,180.339996,182.550003,168.270004,169.500000,169.295395,64445500
2022-05-10,176.889999,181.979996,170.250000,175.949997,175.737595,76147400
2022-05-11,173.470001,177.529999,165.679993,166.300003,166.099243,67016700
2022-05-12,162.190002,167.880005,155.669998,161.750000,161.554749,70872800
2022-05-13,167.880005,179.279999,165.929993,177.059998,176.846237,67043700
2022-05-16,175.089996,177.880005,171.059998,172.639999,172.431610,52144600
2022-05-17,180.740005,183.710007,176.339996,181.770004,181.550568,58583000
2022-05-18,177.050003,181.179993,168.639999,169.380005,169.175552,54516100
2022-05-19,169.369995,176.869995,167.339996,171.240005,171.033279,62131000
2022-05-20,173.320007,174.100006,157.550003,166.940002,166.738464,73910500
2022-05-23,162.740005,169.149994,161.789993,168.979996,168.776001,63988900
2022-05-24,165.100006,165.970001,157.800003,161.539993,161.344971,58855000
2022-05-25,160.199997,171.110001,160.000000,169.750000,169.545074,78113200
2022-05-26,160.360001,180.919998,160.220001,178.509995,178.294510,99657500
2022-05-27,181.860001,188.809998,181.000000,188.110001,187.882919,73837900
2022-05-31,189.800003,192.000000,183.500000,186.720001,186.494583,66410000
2022-06-01,187.240005,190.529999,181.220001,183.199997,182.978836,54451400
2022-06-02,182.919998,196.190002,181.979996,195.919998,195.683487,64865600
2022-06-03,190.820007,193.320007,185.220001,187.199997,186.974030,59877900
2022-06-06,191.389999,193.369995,185.639999,187.860001,187.633224,42240600
2022-06-07,184.720001,190.000000,181.880005,189.259995,189.031540,38891400
2022-06-08,187.990005,191.800003,185.350006,186.479996,186.294266,36325200
2022-06-09,184.809998,189.330002,180.410004,180.479996,180.300232,39557400
2022-06-10,176.000000,176.970001,168.690002,169.740005,169.570938,46524800
2022-06-13,160.000000,163.119995,156.059998,156.470001,156.314133,60415300
2022-06-14,157.309998,160.660004,154.119995,158.360001,158.202271,46968000
2022-06-15,160.949997,168.679993,159.259995,165.270004,165.105392,56393600
2022-06-16,158.600006,159.419998,154.009995,156.009995,155.854599,54574900
